mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0640669345855713,0.016196994791225293,0.009001827239990235,3.2340669551493016e-07,0.9,9,2,4,0.5,"{'subsample': 0.9, 'min_child_weight': 9, 'max_depth': 2, 'gamma': 4, 'colsample_bytree': 0.5}",0.7256052824651504,0.7285399853264857,0.7444933920704846,0.7393538913362702,0.724669603524229,0.7325324309445239,0.007941611625388456,15
1.7886650562286377,0.010909073175023822,0.014803218841552734,0.0007485958472154684,0.9,9,5,8,0.3,"{'subsample': 0.9, 'min_child_weight': 9, 'max_depth': 5, 'gamma': 8, 'colsample_bytree': 0.3}",0.7241379310344828,0.7160674981658107,0.7342143906020558,0.7452276064610867,0.7320117474302497,0.7303318347387371,0.00981443939153475,16
1.269721269607544,0.013368594644747737,0.009205055236816407,0.00039881499158185313,0.4,1,2,2,0.7,"{'subsample': 0.4, 'min_child_weight': 1, 'max_depth': 2, 'gamma': 2, 'colsample_bytree': 0.7}",0.7366104181951577,0.7373440939104916,0.7481644640234949,0.7533039647577092,0.7349486049926579,0.7420743091759022,0.007296572507244153,13
1.3667543411254883,0.016773055769458794,0.013203096389770509,0.00040009025666136835,0.7,9,3,5.5,0.4,"{'subsample': 0.7, 'min_child_weight': 9, 'max_depth': 3, 'gamma': 5.5, 'colsample_bytree': 0.4}",0.7263389581804842,0.7366104181951577,0.7430249632892805,0.750367107195301,0.7334801762114538,0.7379643246143355,0.008204009675290771,14
3.500800848007202,0.018157736178091025,0.027008533477783203,0.0012673149742662062,0.6,6,7,3,0.6,"{'subsample': 0.6, 'min_child_weight': 6, 'max_depth': 7, 'gamma': 3, 'colsample_bytree': 0.6}",0.7820983125458547,0.7747615553925165,0.7848751835535976,0.7826725403817915,0.7819383259911894,0.7812691835729899,0.003419271184264934,6
5.5538242816925045,0.04115823157534119,0.025214290618896483,0.001934041436110807,0.8,5,9,4,1.0,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 9, 'gamma': 4, 'colsample_bytree': 1.0}",0.7798972853998533,0.7909024211298606,0.7914831130690162,0.7834067547723935,0.788546255506608,0.7868471659755464,0.004493579293119972,2
3.0781089305877685,0.0307609183027945,0.01720261573791504,0.00040079041073707173,0.2,5,10,4,0.8,"{'subsample': 0.2, 'min_child_weight': 5, 'max_depth': 10, 'gamma': 4, 'colsample_bytree': 0.8}",0.772560528246515,0.7710931768158474,0.7767988252569751,0.7731277533039648,0.7679882525697503,0.7723137072386105,0.0028649302906135327,8
4.180252933502198,0.043301238715525776,0.017803955078125,0.0016005098874671197,0.75,2,6,8,1.0,"{'subsample': 0.75, 'min_child_weight': 2, 'max_depth': 6, 'gamma': 8, 'colsample_bytree': 1.0}",0.7791636096845195,0.7798972853998533,0.7907488986784141,0.7716593245227606,0.7775330396475771,0.7798004315866249,0.006191971332083008,7
1.398953104019165,0.015388146845475655,0.008200263977050782,0.0004008657598615887,0.9,11,2,8,1.0,"{'subsample': 0.9, 'min_child_weight': 11, 'max_depth': 2, 'gamma': 8, 'colsample_bytree': 1.0}",0.7395451210564931,0.7351430667644901,0.7474302496328928,0.7466960352422908,0.7437591776798825,0.7425147300752099,0.004612034105547187,12
1.5373102188110352,0.012408661900409691,0.011402511596679687,0.0004900571864053368,0.4,6,4,7,0.3,"{'subsample': 0.4, 'min_child_weight': 6, 'max_depth': 4, 'gamma': 7, 'colsample_bytree': 0.3}",0.723404255319149,0.7204695524578136,0.7320117474302497,0.7466960352422908,0.7232011747430249,0.7291565530385056,0.00958962991751907,17
4.041925287246704,0.030375585933038872,0.03730959892272949,0.00040070296121890413,0.8,9,9,1,0.6,"{'subsample': 0.8, 'min_child_weight': 9, 'max_depth': 9, 'gamma': 1, 'colsample_bytree': 0.6}",0.780630961115187,0.7909024211298606,0.788546255506608,0.7826725403817915,0.788546255506608,0.786259686728011,0.003913104834227766,3
1.6888084411621094,0.013899093883830546,0.012202644348144531,0.00040023327938972197,0.4,7,3,5.5,0.7,"{'subsample': 0.4, 'min_child_weight': 7, 'max_depth': 3, 'gamma': 5.5, 'colsample_bytree': 0.7}",0.7483492296404989,0.743947175348496,0.762114537444934,0.7613803230543319,0.7540381791483113,0.7539658889273144,0.007117598124117556,11
4.641523981094361,0.059186148737686614,0.02440509796142578,0.004317959603931392,0.65,1,7,5,0.9,"{'subsample': 0.65, 'min_child_weight': 1, 'max_depth': 7, 'gamma': 5, 'colsample_bytree': 0.9}",0.7754952311078503,0.789435069699193,0.7966226138032305,0.7797356828193832,0.7863436123348018,0.7855264419528918,0.0073922696160849816,5
5.969110631942749,0.03702223605584351,0.019009494781494142,0.0008995674421855197,0.65,1,9,5,1.0,"{'subsample': 0.65, 'min_child_weight': 1, 'max_depth': 9, 'gamma': 5, 'colsample_bytree': 1.0}",0.7828319882611886,0.7865003668378576,0.7929515418502202,0.7834067547723935,0.7834067547723935,0.7858194812988106,0.00379203127778898,4
1.251041841506958,0.02008712381410839,0.009401988983154298,0.0004899208705145337,0.5,11,4,7,0.2,"{'subsample': 0.5, 'min_child_weight': 11, 'max_depth': 4, 'gamma': 7, 'colsample_bytree': 0.2}",0.6177549523110785,0.6148202494497432,0.6211453744493393,0.6255506607929515,0.6226138032305433,0.6203770080467311,0.0037446779500385323,19
2.135455846786499,0.029121889734741883,0.011002922058105468,0.0006325608155697164,0.5,9,6,10,0.3,"{'subsample': 0.5, 'min_child_weight': 9, 'max_depth': 6, 'gamma': 10, 'colsample_bytree': 0.3}",0.7219369038884813,0.719002201027146,0.7290748898678414,0.7466960352422908,0.724669603524229,0.7282759267099979,0.009789070494809506,18
4.4403050422668455,0.06350063253741836,0.031612825393676755,0.0016310372447333017,0.65,5,10,1,0.7,"{'subsample': 0.65, 'min_child_weight': 5, 'max_depth': 10, 'gamma': 1, 'colsample_bytree': 0.7}",0.7872340425531915,0.7945707997065297,0.7907488986784141,0.7863436123348018,0.7936857562408223,0.7905166219027518,0.0033082641568731082,1
0.8944431781768799,0.00837625344635203,0.013609647750854492,0.0004955703686660222,0.2,1,4,0.5,0.1,"{'subsample': 0.2, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 0.5, 'colsample_bytree': 0.1}",0.5025678650036683,0.49816581071166544,0.49706314243759175,0.4977973568281938,0.5066079295154186,0.5004404208993076,0.0036367521209092596,20
2.6814313411712645,0.05570631941833712,0.01580348014831543,0.0011663675949098377,0.65,6,7,5.5,0.4,"{'subsample': 0.65, 'min_child_weight': 6, 'max_depth': 7, 'gamma': 5.5, 'colsample_bytree': 0.4}",0.7534849596478357,0.7490829053558328,0.7591776798825257,0.7577092511013216,0.7540381791483113,0.7546985950271654,0.0035375494792323986,10
1.9312154293060302,0.04189830984338923,0.010602331161499024,0.0012002309216034128,0.2,5,6,6,0.5,"{'subsample': 0.2, 'min_child_weight': 5, 'max_depth': 6, 'gamma': 6, 'colsample_bytree': 0.5}",0.7564196625091709,0.7490829053558328,0.7687224669603524,0.7701908957415565,0.7555066079295154,0.7599845076992857,0.008150177055130053,9
